Transaction_ID,Vendor_ID,Amount,Quantity,Payment_Method,Days_Between_Transactions,Fraud_Label
T0,1096,22452,8,UPI,19,0
T1,1048,5875,5,Card,20,0
T2,1038,48227,13,Bank,24,1
T3,1037,46762,13,UPI,15,1
T4,1083,22994,7,Bank,27,0
T5,1064,38683,10,Card,28,0
T6,1012,26989,16,Card,6,1
T7,1074,17470,19,UPI,6,1
T8,1050,6075,2,Card,25,0
T9,1032,10481,16,UPI,21,1
T10,1048,37802,5,Card,21,0
T11,1062,48447,18,Bank,1,1
T12,1011,35193,16,Card,6,1
T13,1067,4629,9,Bank,29,0
T14,1075,32404,7,Bank,17,0
T15,1091,25467,1,UPI,18,0
T16,1087,10509,3,Card,3,0
T17,1099,27656,8,Card,3,0
T18,1028,30958,7,Card,29,0
T19,1001,46635,14,Bank,3,1
T20,1089,46743,11,UPI,24,1
T21,1094,41423,5,UPI,10,1
T22,1072,19833,12,UPI,29,0
T23,1011,32602,2,Card,11,0
T24,1009,41680,12,Card,18,1
T25,1081,34971,15,Bank,25,0
T26,1002,7180,19,UPI,29,1
T27,1040,23162,13,UPI,18,0
T28,1049,1238,9,Bank,10,0
T29,1014,48718,17,Bank,15,1
T30,1032,46117,3,UPI,21,1
T31,1011,37244,4,Bank,12,0
T32,1029,39579,17,UPI,24,1
T33,1033,27855,4,Bank,3,0
T34,1066,48075,9,Card,3,1
T35,1048,29615,15,Bank,22,0
T36,1032,21143,3,Card,5,0
T37,1006,23039,14,Bank,21,0
T38,1014,36094,4,Card,13,0
T39,1059,24178,8,Bank,3,0
T40,1071,48176,16,Bank,11,1
T41,1000,33374,18,Card,10,1
T42,1016,16138,19,Bank,16,1
T43,1044,28440,5,Bank,7,0
T44,1086,40462,15,UPI,11,1
T45,1040,14129,13,Card,3,0
T46,1064,41051,5,UPI,16,1
T47,1089,34260,1,UPI,15,0
T48,1055,19822,5,Card,9,0
T49,1047,33784,7,Bank,7,0
T50,1047,41348,5,UPI,3,1
T51,1070,23933,13,UPI,5,0
T52,1027,12150,10,Bank,16,0
T53,1078,16588,4,Bank,24,0
T54,1083,48829,13,UPI,18,1
T55,1056,26437,1,Bank,24,0
T56,1011,4005,10,Bank,10,0
T57,1079,21500,19,Bank,20,1
T58,1015,7750,7,UPI,1,1
T59,1097,1974,18,Bank,22,1
T60,1099,21196,16,Bank,8,1
T61,1091,27307,10,Card,6,0
T62,1043,29775,12,Bank,15,0
T63,1062,46996,11,UPI,25,1
T64,1077,30686,6,UPI,12,0
T65,1078,43222,19,Card,5,1
T66,1094,6371,12,Card,18,0
T67,1062,28429,2,Card,15,0
T68,1020,29842,9,Card,7,0
T69,1028,35802,13,UPI,17,0
T70,1060,48720,15,UPI,7,1
T71,1030,10520,3,Bank,11,0
T72,1010,22690,6,Bank,11,0
T73,1034,31872,10,Card,17,0
T74,1076,44675,6,UPI,14,1
T75,1074,28958,2,UPI,29,0
T76,1094,4544,11,Bank,6,0
T77,1093,25740,14,UPI,25,0
T78,1079,3597,16,Bank,1,1
T79,1057,21426,1,UPI,28,0
T80,1069,15721,7,Card,24,0
T81,1034,48031,18,Bank,28,1
T82,1099,38088,7,Card,19,0
T83,1050,20323,9,Card,19,0
T84,1087,48506,5,Bank,28,1
T85,1085,13944,19,UPI,28,1
T86,1050,46359,10,Card,18,1
T87,1013,17223,13,Card,27,0
T88,1073,30434,6,Card,21,0
T89,1054,48233,9,UPI,26,1
T90,1048,26698,1,UPI,15,0
T91,1063,5770,2,Bank,14,0
T92,1047,43993,2,Bank,4,1
T93,1024,34925,9,UPI,11,0
T94,1025,22992,12,Card,7,0
T95,1012,22501,6,UPI,6,0
T96,1082,46410,5,Bank,12,1
T97,1035,23121,17,UPI,11,1
T98,1074,44303,16,Card,3,1
T99,1043,36888,10,Card,26,0
T100,1028,2444,11,Bank,3,0
T101,1012,37902,2,Bank,21,0
T102,1007,29814,5,Card,9,0
T103,1008,4324,2,Bank,29,0
T104,1039,21609,1,UPI,1,1
T105,1090,15694,14,Bank,26,0
T106,1054,6595,8,Bank,4,0
T107,1037,17660,8,Card,13,0
T108,1058,3043,13,Bank,2,0
T109,1025,30175,18,UPI,1,1
T110,1016,25926,18,UPI,7,1
T111,1056,3526,18,Card,10,1
T112,1024,45435,16,UPI,26,1
T113,1005,25058,14,Bank,6,0
T114,1000,7776,11,Card,10,0
T115,1020,45928,2,Card,26,1
T116,1005,40008,12,Bank,25,1
T117,1087,21600,8,Bank,16,0
T118,1081,44447,11,UPI,19,1
T119,1045,29719,8,Bank,7,0
T120,1001,45996,14,Card,11,1
T121,1069,6773,4,UPI,17,0
T122,1040,27988,6,Bank,23,0
T123,1040,39929,5,Card,22,0
T124,1097,2174,19,Card,18,1
T125,1064,4150,1,UPI,18,0
T126,1091,22152,16,UPI,12,1
T127,1007,36368,7,UPI,12,0
T128,1076,31410,4,UPI,12,0
T129,1003,48448,15,Bank,21,1
T130,1074,15847,16,Card,1,1
T131,1030,18991,4,UPI,21,0
T132,1027,13843,3,Bank,17,0
T133,1094,21225,7,Card,8,0
T134,1004,16188,6,UPI,29,0
T135,1018,6326,13,UPI,4,0
T136,1078,30731,19,Bank,29,1
T137,1078,35405,18,UPI,2,1
T138,1053,36937,3,UPI,28,0
T139,1057,3676,17,UPI,12,1
T140,1008,35583,7,UPI,29,0
T141,1053,9661,3,Bank,7,0
T142,1098,36758,12,Bank,10,0
T143,1029,33811,16,Card,25,1
T144,1011,11697,18,Card,5,1
T145,1078,15398,7,Card,17,0
T146,1098,32701,10,UPI,29,0
T147,1068,42591,6,UPI,15,1
T148,1025,1292,7,UPI,3,0
T149,1077,13036,4,Card,10,0
